Id,SalePrice
1461,126455.9453125
1462,166153.28125
1463,175623.796875
1464,186396.203125
1465,181911.09375
1466,171928.640625
1467,167871.6875
1468,152497.390625
1469,185757.46875
1470,134829.71875
1471,216294.953125
1472,96830.375
1473,94521.2734375
1474,158273.34375
1475,113650.7421875
1476,349249.875
1477,239836.84375
1478,279653.25
1479,288997.84375
1480,525616.3125
1481,307710.34375
1482,198709.1875
1483,178992.328125
1484,168820.796875
1485,170480.1875
1486,198145.40625
1487,321055.3125
1488,254406.109375
1489,176229.484375
1490,220419.328125
1491,189865.875
1492,111560.7421875
1493,178437.671875
1494,289244.96875
1495,304357.1875
1496,230274.984375
1497,199077.828125
1498,162483.078125
1499,163711.359375
1500,163463.9375
1501,181872.34375
1502,149941.890625
1503,257877.734375
1504,230091.703125
1505,231139.53125
1506,158805.796875
1507,291013.4375
1508,193938.640625
1509,150389.84375
1510,147808.40625
1511,155676.65625
1512,181502.15625
1513,140419.28125
1514,152428.34375
1515,191578.75
1516,149878.546875
1517,156245.9375
1518,149327.90625
1519,231597.265625
1520,135715.390625
1521,142326.171875
1522,176375.828125
1523,107518.109375
1524,122897.8125
1525,124292.5
1526,124565.1171875
1527,89580.3515625
1528,129642.0546875
1529,151649.421875
1530,175793.46875
1531,144448.390625
1532,120290.5390625
1533,159749.109375
1534,116962.8203125
1535,161856.1875
1536,114408.3671875
1537,85215.9765625
1538,149678.65625
1539,212725.015625
1540,119847.2578125
1541,157326.90625
1542,155659.015625
1543,179376.8125
1544,102450.171875
1545,101495.625
1546,140850.890625
1547,142855.0
1548,130729.1640625
1549,124487.2109375
1550,146945.3125
1551,133047.84375
1552,192140.71875
1553,157790.734375
1554,109669.7578125
1555,175339.640625
1556,104983.953125
1557,118737.46875
1558,98980.546875
1559,125479.828125
1560,163342.59375
1561,122185.671875
1562,130496.109375
1563,131462.15625
1564,168787.90625
1565,160890.828125
1566,213543.734375
1567,97111.390625
1568,223778.1875
1569,140412.453125
1570,131277.9375
1571,109150.4609375
1572,144608.03125
1573,243276.203125
1574,153599.34375
1575,216232.375
1576,249315.421875
1577,176143.984375
1578,144813.546875
1579,147476.625
1580,188428.578125
1581,138934.375
1582,122771.234375
1583,383821.5
1584,260074.9375
1585,149284.28125
1586,68005.0078125
1587,95965.9296875
1588,146026.9375
1589,113602.3984375
1590,141513.984375
1591,98557.0546875
1592,125514.5703125
1593,123507.890625
1594,150810.125
1595,140426.84375
1596,213983.109375
1597,174368.328125
1598,177685.453125
1599,164291.96875
1600,172480.234375
1601,67334.25
1602,121385.0859375
1603,99683.8359375
1604,257951.21875
1605,253987.65625
1606,172637.328125
1607,161498.109375
1608,199635.484375
1609,175660.171875
1610,142715.828125
1611,145049.671875
1612,182293.65625
1613,177656.484375
1614,137769.84375
1615,83387.078125
1616,73215.953125
1617,89908.1796875
1618,123760.7578125
1619,131417.1875
1620,236960.09375
1621,152692.046875
1622,133280.375
1623,279956.375
1624,224070.25
1625,125620.859375
1626,172224.234375
1627,179752.859375
1628,276856.71875
1629,162940.640625
1630,358765.09375
1631,186744.859375
1632,215153.34375
1633,162480.28125
1634,181203.234375
1635,176513.828125
1636,165057.9375
1637,200882.15625
1638,199661.109375
1639,184279.515625
1640,239314.0
1641,184580.0625
1642,232757.71875
1643,222523.609375
